Timestamp,Which Prototype are you evaluating?,What was your time to complete task 1 (in seconds)?,What was your time to complete task 2 (in seconds)?,What was your time to complete task 3 (in seconds)?,Which of the following words would describe your experience with this prototype?,"Overall, I thought this design was effective.","Overall, I thought this design was useful.","Overall, I thought this design was fun."
4/15/2021 15:43:36,Prototype A (Boxes),10.69,240.82,11.93,Fine,5,5,3
4/15/2021 16:04:49,Prototype A (Boxes),9,196,6,"Boring, Frustrating, Confusing",6,3,5
4/15/2021 16:05:51,Prototype A (Boxes),5.59,60,28.86,"Boring, Frustrating",3,2,3
4/15/2021 16:06:53,Prototype B (Circles),12,130,10,"Frustrating, Tiring",1,4,1
4/15/2021 16:08:03,Prototype B (Circles),6.96,65,30.88,"Boring, Frustrating, Confusing, Tiring",1,1,2
4/15/2021 16:08:33,Prototype B (Circles),25,30,20,"Great, Fine",5,,
4/15/2021 16:10:51,Prototype A (Boxes),20,80,30,Fine,5,5,4
4/15/2021 16:15:00,Prototype A (Boxes),6,220,16,"Boring, Fine, Confusing",4,5,3
4/15/2021 16:16:18,Prototype A (Boxes),5,220,25,"Boring, Frustrating, Confusing",4,4,3
4/15/2021 16:17:48,Prototype B (Circles),13,12,8,"Frustrating, Confusing, Tiring, hard to read",1,1,2
4/15/2021 16:18:18,Prototype B (Circles),6,20,10,"Boring, Confusing",1,1,5
4/15/2021 16:18:21,Prototype B (Circles),10,210,20,"Frustrating, Confusing",3,5,2
4/15/2021 16:19:45,Prototype A (Boxes),8,130,9,Fine,6,6,4
4/15/2021 16:19:50,Prototype B (Circles),6,72,12,"Frustrating, Fine, Confusing",3,5,3
4/15/2021 16:20:08,Prototype B (Circles),18,142,15,"Fun, Confusing",5,6,6
4/15/2021 16:21:39,Prototype A (Boxes),7,130,8,Fine,5,5,3
4/15/2021 16:21:57,Prototype A (Boxes),9,13,7,"Boring, Fine",5,5,3
4/15/2021 16:22:02,Prototype B (Circles),9,202,50,"Frustrating, Confusing",4,4,5
4/15/2021 16:23:27,Prototype A (Boxes),13,600,40,"Frustrating, Fine, Confusing",3,4,2
4/15/2021 16:23:27,Prototype A (Boxes),6,12,8,"Great, Excellent",6,6,5
4/15/2021 16:24:52,Prototype A (Boxes),11.74,28.29,6.89,"Boring, Confusing",5,4,1
4/15/2021 16:25:04,Prototype A (Boxes),5,128,10,"Boring, Fine",5,6,4
4/15/2021 16:25:18,Prototype A (Boxes),8,216,10,"Boring, Fine, Confusing",5,5,5
4/15/2021 16:25:47,Prototype B (Circles),8,600,32,"Frustrating, Fine, Confusing",2,1,5
4/15/2021 16:27:20,Prototype B (Circles),6,131,7,Fine,5,2,4
4/15/2021 16:28:30,Prototype B (Circles),3.35,270,5.51,Fine,5,4,1
4/15/2021 16:31:58,Prototype B (Circles),15.38,137.53,71.53,"Fine, Confusing",3,4,4
4/15/2021 16:34:07,Prototype A (Boxes),5,135,19,Frustrating,6,6,3
4/15/2021 16:34:59,Prototype A (Boxes),9.76,141.28,10.73,Fine,5,5,4
4/15/2021 16:35:06,Prototype B (Circles),5,126,6,"Frustrating, Confusing",1,2,2
4/15/2021 17:40:21,Prototype B (Circles),9,190,10,Boring,5,5,1
4/15/2021 17:41:27,Prototype A (Boxes),10,195,8,Boring,5,5,1
4/15/2021 17:45:15,Prototype B (Circles),10.31,201.96,11.41,"Fun, Fine, Confusing",6,6,5
4/15/2021 17:47:26,Prototype A (Boxes),7.9,127.88,11.33,"Great, Excellent",7,7,4
4/15/2021 17:49:20,Prototype B (Circles),10,190,7,Fine,4,4,5
4/15/2021 17:49:46,Prototype A (Boxes),8,60,16,"Frustrating, Fine, Confusing",5,5,4
4/15/2021 17:50:06,Prototype B (Circles),9.76,199,11.39,"Boring, Fine, Confusing",2,3,2
4/15/2021 17:51:22,Prototype A (Boxes),7,125,6,"Fine, Great",6,6,3
4/15/2021 17:51:43,Prototype A (Boxes),10,126,10,"Boring, Fine",4,4,2
4/15/2021 17:52:06,Prototype B (Circles),12,280,13,"Fun, Frustrating, Confusing, Tiring",1,2,5
4/15/2021 17:52:57,Prototype A (Boxes),15,12,17,"Boring, Confusing",4,2,1
4/15/2021 17:53:25,Prototype B (Circles),16,14,10,Boring,3,2,1
4/15/2021 17:54:02,Prototype A (Boxes),7,11,137,"Frustrating, Fine, Confusing",3,3,3
4/15/2021 17:55:21,Prototype A (Boxes),2,170,2,Confusing,3,4,4
4/15/2021 17:55:48,Prototype A (Boxes),9.6,177.82,28.99,"Boring, Frustrating, Confusing",3,2,1
4/15/2021 17:56:29,Prototype B (Circles),7,20,6,"Frustrating, Confusing",1,3,1
4/15/2021 17:56:31,Prototype A (Boxes),24,134,12,Fine,6,5,5
4/15/2021 17:56:39,Prototype B (Circles),3,66,4,Confusing,1,1,4
4/15/2021 17:57:53,Prototype B (Circles),6.45,197.38,20.38,"Frustrating, Confusing",1,1,1
4/15/2021 17:59:41,Prototype B (Circles),11,129,13,"Frustrating, Confusing",1,2,3
4/15/2021 19:33:30,Prototype B (Circles),10,149,25,"Frustrating, Confusing, Hard on Eyes",1,1,1
4/15/2021 19:34:24,Prototype A (Boxes),5,121,4,"Fun, Exciting, Fine, Great, Excellent",7,7,7
4/15/2021 20:12:00,Prototype A (Boxes),18.35,219.22,39.22,Fine,4,6,1
4/15/2021 20:15:21,Prototype B (Circles),7.08,134.36,7.96,"Fine, Confusing",4,4,3
4/15/2021 20:25:30,Prototype A (Boxes),9,85,12,"Boring, Frustrating, Fine",5,6,3
4/15/2021 20:27:14,Prototype B (Circles),12,70,4,"Boring, Confusing, Tiring",2,2,1
4/16/2021 0:04:06,Prototype A (Boxes),11,188,9,Fine,5,6,3
4/16/2021 0:06:27,Prototype B (Circles),8,133,8,"Frustrating, Confusing",1,1,1
4/16/2021 2:23:37,Prototype B (Circles),6.47,7.8,3.68,"Boring, Fine, Confusing, Revolutionary",3,3,3
4/16/2021 2:30:18,Prototype A (Boxes),3.68,1.9,2.18,"Fun, Great, Revolutionary",6,6,5
4/16/2021 3:39:26,Prototype B (Circles),10,20,20,Fine,4,4,5
4/16/2021 3:40:14,Prototype A (Boxes),5,5,5,Fine,5,5,5
4/16/2021 10:26:59,Prototype B (Circles),8,19,14,"Fun, Confusing",3,3,6
4/16/2021 10:28:05,Prototype B (Circles),7,15,7,Odd,4,5,2
